id;fecha;importe;TIPO_PAGO;CONCEPTO;id_poliza;id_compania;NRO_RECIBO;fechaVencimiento
121;05/01/2008;95,73;P;CUOTA 1;60;;1
122;05/02/2008;95,73;P;CUOTA 2;60;;2
123;03/03/2008;95,73;P;CUOTA 3;60;;3
124;04/04/2008;95,73;P;CUOTA 4;60;;4
125;05/01/2008;11,32;P;CUOTA 1;61;;1
126;04/02/2008;11,32;P;CUOTA 2;61;;2
127;03/03/2008;11,32;P;CUOTA 3;61;;3
128;04/04/2008;11,32;P;CUOTA 4;61;;4
129;04/04/2008;9,91;P;CUOTA 1;62;;1
130;07/03/2008;78,41;P;CUOTA 1;64;;0
131;08/04/2008;78,4;P;CUOTA 2;64;;0
132;07/01/2008;119,67;P;CUOTA 2;65;;0
133;28/01/2008;119,67;P;CUOTA 3;65;;0
134;07/03/2008;119,67;P;CUOTA 4;65;;0
135;11/04/2008;119,67;P;CUOTA 5;65;;0
136;12/02/2008;131,87;P;CUOTA 1;;;0
137;07/03/2008;131,86;P;CUOTA 2;;;0
138;15/04/2008;131,86;P;CUOTA 3;;;0
139;05/02/2008;88,38;P;CUOTA 1;67;;0
140;29/02/2008;88;P;CUOTA 2;67;;0
141;03/01/2008;423,14001;P;CUOTA 2;68;;0
142;05/02/2008;423,14001;P;CUOTA 3;68;;0
143;29/02/2008;423,14001;P;CUOTA 4;68;;0
144;09/04/2008;423,14001;P;CUOTA 5;68;;0
145;15/01/2008;96,08;P;CUOTA 2;70;;0
146;14/02/2008;96,08;P;CUOTA 3;70;;0
147;14/03/2008;96,08;P;CUOTA 4;70;;0
148;15/04/2008;96,08;P;CUOTA 5;70;;0
149;18/01/2008;111,06;P;CUOPTA 3;71;;0
150;18/02/2008;111,06;P;CUOTA 4;71;;0
151;14/03/2008;111,06;P;CUOTA 5;71;;0
152;15/04/2008;111,06;P;CUOTA 6;71;;0
153;08/01/2008;130,25999;P;CUOTA 4;72;;0
154;04/02/2008;130,25999;P;CUOTA 5;72;;0
155;07/03/2008;130,25999;P;CUOTA 6;72;;0
156;04/01/2008;69;P;CUOTA 6;73;;0
157;08/02/2008;69;P;CUOTA 7;73;;0
158;19/03/2008;69;P;CUOTA 8;73;;0
